[-8, 283]
[-2, 304]
[-2, 304]
[-3, 311]
[-3, 311]
[-3, 327]
[-2, 343]
[-2, 343]
[-4, 358]
[-4, 366]
[-4, 366]
[-4, 376]
[-4, 376]
[-5, 393]
[-5, 393]
[-6, 406]
[-6, 406]
[-6, 415]
[-6, 415]
[-2, 424]
[3, 428]
[8, 429]
[8, 429]
[14, 427]
[18, 423]
[18, 423]
[22, 418]
[24, 413]
[24, 413]
[26, 405]
[29, 394]
[29, 394]
[31, 386]
[31, 386]
[33, 375]
[33, 375]
[33, 375]
[40, 356]
[42, 345]
[42, 345]
[44, 337]
[44, 337]
[47, 327]
[47, 327]
[50, 317]
[50, 317]
[51, 309]
[56, 297]
[56, 297]
[58, 288]
[58, 288]
[61, 279]
[61, 271]
[61, 271]
[63, 258]
[64, 251]
[64, 251]
[66, 246]
[73, 242]
[73, 242]
[80, 242]
[80, 242]
[92, 244]
[92, 244]
[114, 246]
[114, 246]
[123, 247]
[123, 247]
[133, 249]
[133, 249]
[140, 258]
[140, 258]
[141, 268]
[143, 274]
[143, 274]
[143, 274]
[148, 281]
[155, 293]
[161, 300]
[161, 300]
[161, 300]
[166, 306]
[166, 306]
[173, 314]
[173, 314]
[186, 327]
